Z	Integral
416150	16863080
693646	153654
6630	427559600
72541	257432000
209100	90129500
416150	16681870
693646	260998
6630	427902300
72541	258117100
209100	90459460
416150	16699490
693646	117297
6630	424725600
72541	258427600
209100	90222560
416150	16621500
693646	10288
6630	425608700
72541	257526200
209100	90047640
416150	16621120
693646	136540
6630	425709300
72541	257392200
209100	89775870
416150	16720360
693646	109609
6630	426796500
72541	257591300
209100	89940750
416150	16756280
693646	160957
6630	424660500
72541	258246400
209100	89817450
416150	16591630
693646	180792
6630	426473500
72541	257701000
209100	90163230
416150	16625310
693646	135951
6630	426981800
72541	257811600
209100	90048650
416150	16787070
693646	174928
6630	426216100
72541	256288100
209100	89714810
416150	16600360
693646	181851
6630	425828900
72541	257555200
209100	89517640
416150	16693170
693646	146584
6630	424758900
72541	257363500
209100	89808630
416150	16467090
693646	170759
6630	425915100
72541	257301800
209100	90022000
416150	16674540
693646	69893
6630	425901600
72541	258353500
209100	89983240
416150	16671130
693646	134767
6630	424194500
72541	257387000
209100	89584420
416150	16526090
693646	216237
6630	426927900
72541	257407200
209100	89599820
416150	16619710
693646	141099
6630	426641900
72541	257824400
209100	89431650
416150	16536460
693646	140058
6630	425862600
72541	257231900
209100	89697300
416150	16648750
693646	164942
6630	426461200
72541	257913800
209100	89822590
416150	16613620
693646	184428
6630	423526500
72541	257596400
209100	89703020
416150	16742290
693646	9223
6630	425419900
72541	257339000
209100	90099660
416150	16613490
693646	92569
6630	425781500
72541	258314100
209100	90213070
416150	16737040
693646	132685
6630	426608100
72541	257137500
209100	89823930
416150	16512890
693646	73413
6630	425154800
72541	257427600
209100	89515120
416150	16652170
693646	200301
6630	425083100
72541	257383100
209100	89823550
416150	16494130
693646	125008
6630	427902900
72541	257831200
209100	89704080
416150	16607380
693646	71283
6630	425476200
72541	256075800
209100	89642840
416150	16696490
693646	40352
6630	425749900
72541	257890300
209100	90007450
416150	16645410
693646	126589
6630	425558800
72541	257581100
209100	89599740
416150	16603400
693646	123976
6630	425489600
72541	256835300
209100	89642300
416150	16644400
693646	59248
6630	426162600
72541	257822300
209100	89710740
416150	16581280
693646	123084
6630	425767300
72541	257477700
209100	89597340
416150	16524550
693646	29625
6630	425913100
72541	256488000
209100	89606310
416150	16602890
693646	36340
6630	424458100
72541	257498000
209100	89962370
416150	16572060
693646	43544
6630	426345200
72541	257140900
209100	89608330
416150	16576960
693646	2678
6630	425058400
72541	257662600
209100	89692940
416150	16453770
693646	6398
6630	425345500
72541	256189500
209100	89236690
416150	16507650
693646	31729
6630	421527200
72541	254909900
209100	88779270
416150	16356830
693646	186298
6630	420460400
72541	254345700
209100	88140140
416150	16150600
693646	147184
6630	418307600
72541	252956200
209100	87806780
416150	16223330
693646	28034
6630	414656400
72541	251333900
209100	87327460
416150	16143700
693646	192939
6630	413280700
72541	249599900
209100	87276730
416150	16053710
693646	47673
6630	412410500
72541	248856400
209100	86810950
416150	15891930
693646	51181
6630	410974100
72541	248006300
209100	85862710
416150	15897220
693646	159624
6630	409131900
72541	245988600
209100	85734180
416150	15688280
693646	119010
6630	405377300
72541	245853200
209100	85900020
416150	15681840
693646	15063
6630	406601900
72541	245087800
209100	85433060
416150	15690400
693646	124438
6630	405338000
72541	244937900
209100	84993890
416150	15687890
693646	35793
6630	404899300
72541	245046000
209100	85098740
416150	15558140
693646	100641
6630	404515200
72541	243353100
209100	84460320
416150	15527310
693646	84031
6630	401217700
72541	243089300
209100	84125730
416150	15363340
693646	45566
6630	401851600
72541	242639600
209100	84020090
416150	15418380
693646	145813
6630	402164200
72541	242569200
209100	83853180
416150	15515720
693646	236293
6630	402362200
72541	242007200
209100	83987240
416150	15316340
693646	180497
6630	399323400
72541	241092100
209100	83219730
416150	15380170
693646	223094
6630	400885900
72541	240736400
209100	82746960
416150	15314630
693646	353102
6630	399808800
72541	240883000
209100	83021860
416150	15323720
693646	222530
6630	400832000
72541	239899500
209100	82268120
416150	15233160
693646	272763
6630	399292900
72541	239262300
209100	82280960
416150	15061120
693646	137074
6630	399147700
72541	239423800
209100	82251820
416150	15034070
693646	154748
6630	398789300
72541	238641400
209100	81697540
416150	14905510
693646	307933
6630	396823900
72541	238132900
209100	81514500
416150	14912910
693646	379263
6630	397476500
72541	238261200
209100	81476060
416150	14900800
693646	209668
6630	397302500
72541	237923200
209100	81571440
416150	14806140
693646	351075
6630	396996200
72541	237193200
209100	81021650
416150	14864650
693646	442361
6630	397144400
72541	236805400
209100	80900100
416150	14736900
693646	433780
6630	398330300
72541	237537800
209100	80798420
416150	14949440
693646	535004
6630	396159200
72541	236319700
209100	80686140
416150	14805700
693646	585424
6630	396842300
72541	237471000
209100	80515770
416150	14768160
693646	456143
6630	397083200
72541	236824300
209100	80537260
416150	15046060
693646	758849
6630	399907100
72541	238787800
209100	81430140
416150	15182060
693646	764690
6630	405084800
72541	242299800
209100	82208660
416150	15230150
693646	785104
6630	410112600
72541	244188300
209100	82731410
416150	15598980
693646	872843
6630	415027300
72541	247190500
209100	83954350
416150	15650520
693646	988807
6630	418886200
72541	249595500
209100	84356530
416150	15798410
693646	1045378
6630	421746000
72541	251562700
209100	85346940
416150	16030120
693646	1172752
6630	427443400
72541	254010300
209100	86323360
416150	16281580
693646	1248962
6630	430533400
72541	255621400
209100	86648200
416150	16407430
693646	1280204
6630	433784100
72541	257447300
209100	87236080
416150	16421970
693646	1233947
6630	434732500
72541	257781700
209100	86989290
416150	16523520
